time,dist,area
293,-28.01785145,35
293,24.75883681,165
293,24.73863375,123
293,13.89244399,57
293,5.656854249,71
293,-9.219544457,71
293,-28.0713377,51
293,38.28837944,16
294,-29,24
294,26.2488095,154
294,26.92582404,130
294,14.76482306,64
294,5,79
294,-7.810249676,87
294,30.87069808,85
294,22.6715681,154
294,34.05877273,57
294,-27.01851217,41
294,39.59797975,26
294,31.78049716,19
295,-28,44
295,24.08318916,165
295,26.68332813,113
295,14.31782106,57
295,17.4642492,95
295,5.656854249,71
295,-8.485281374,63
295,24.04163056,165
295,33.83784863,61
295,-29.01723626,21
296,-28.01785145,48
296,25.61249695,133
296,15.8113883,78
296,27.65863337,95
296,6.403124237,78
296,-9.899494937,63
296,13.45362405,70
297,26.17250466,143
297,35.4682957,31
297,25,57
297,-6.708203932,63
297,26.40075756,143
297,28.01785145,29
298,24.75883681,123
298,32.89376841,44
298,25,57
298,15.5241747,61
298,21.09502311,78
298,33.06055051,18
298,7.211102551,78
298,-7.615773106,63
298,26.40075756,143
298,28.01785145,29
299,-6.32455532,57
299,35.11409973,15
299,27.20294102,133
299,36.05551275,48
299,27.07397274,48
300,29.12043956,104
300,9.055385138,103
300,-1,71
300,30.41381265,57
300,24.18677324,95
300,30.23243292,72
301,28.16025568,104
301,8,103
301,-2.236067977,71
301,19.31320792,164
301,29.42787794,70
301,24.08318916,85
302,28.63564213,132
302,9.055385138,85
302,-1.414213562,71
302,30.59411708,63
302,25.17935662,95
303,30.08321791,121
303,17.88854382,51
303,8.062257748,95
303,-1.414213562,63
303,21.1896201,205
303,23.19482701,99
304,30.6757233,113
304,18.35755975,57
304,8,92
304,20.24845673,208
304,-1.414213562,78
304,30.14962686,78
304,24.08318916,63
305,30.08321791,95
305,20.1246118,64
305,9.055385138,95
305,21.9317122,246
305,-2,55
305,30.41381265,76
306,27.16615541,154
306,-2,76
306,-23,76
307,28.16025568,154
307,1,63
307,25.49509757,123
308,26.17250466,142
308,0,70
309,26.30589288,132
309,-1.414213562,70
310,13.15294644,87
310,3,71
310,28.7923601,123
310,26.17250466,71
310,31.38470965,41
311,12.36931688,71
311,2.236067977,78
311,25.49509757,71
312,14.14213562,71
312,3,63
312,29.54657341,143
312,27.58622845,78
312,33.9705755,87
312,-29.41088234,24
313,3.16227766,64
313,15.03329638,64
313,40.80441153,26
314,3.605551275,64
314,15.03329638,78
314,40.80441153,24
314,31.30495168,32
315,4.123105626,55
316,3.605551275,63
316,40.22437072,29
316,29.96664813,61
317,4.472135955,61
317,39.66106403,31
317,29.96664813,52
318,5,64
318,12.04159458,44
318,-31.82766093,52
318,39.66106403,26
318,28.23118843,57
319,3.605551275,57
