,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44405,19632,51,82,4,2,cell,97%,30,29,10,9,71,5,29,A,1,1
44406,19632,51,82,4,3,cell,92%,30,38,6,6,29,-4,38,B,1,NA
44407,19632,51,82,4,4,cell,96%,33,18,9,8,57,16.2788206,18.24828759,A,1,NA
44408,19633,51,83,2,1,cell,97%,30,30,10,10,79,4,30,A,2,NA
44409,19633,51,83,2,2,cell,96%,29,39,6,7,33,-5.099019514,39.01281841,B,1,2
44410,19634,51,84,2,1,cell,96%,29,30,11,10,87,4.123105626,30.01666204,A,2,NA
44411,19634,51,84,2,2,cell,96%,28,40,7,8,44,-6.32455532,40.04996879,B,2,2
44412,19635,51,85,2,1,cell,95%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44413,19635,51,85,2,2,cell,95%,29,40,9,9,64,-6.08276253,40.01249805,B,2,2
44414,19636,51,86,2,1,cell,96%,29,28,11,10,87,6.08276253,28.01785145,A,2,NA
44415,19636,51,86,2,2,cell,95%,29,40,9,9,64,-6.08276253,40.01249805,B,2,2
44416,19637,51,87,2,1,cell,97%,30,28,12,10,95,6,28,A,2,NA
44417,19637,51,87,2,2,cell,96%,30,41,10,10,79,-7,41,B,2,2
44418,19638,51,88,2,1,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44419,19638,51,88,2,2,cell,96%,29,41,8,9,57,-7.071067812,41.01219331,B,2,2
44420,19639,51,89,2,1,cell,96%,28,29,10,8,63,5.385164807,29.06888371,A,2,NA
44421,19639,51,89,2,2,cell,96%,29,37,6,6,29,-3.16227766,37.01351105,B,2,2
44422,19640,51,90,2,1,cell,97%,28,29,11,8,70,5.385164807,29.06888371,A,2,NA
44423,19640,51,90,2,2,cell,96%,29,38,6,7,33,-4.123105626,38.01315562,B,2,2
44424,19641,51,91,2,1,cell,97%,29,29,11,9,78,5.099019514,29.01723626,A,2,NA
44425,19641,51,91,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B,2,2
44426,19642,51,92,2,1,cell,96%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44427,19642,51,92,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B,2,2
